同花顺iFinD,399905.SZ
,中证500
日期,涨跌幅
2021-02-03,-0.8591 
2021-02-04,-1.1024 
2021-02-05,-1.4050 
2021-02-08,1.3348 
2021-02-09,2.1306 
2021-02-10,1.0419 
2021-02-18,1.3698 
2021-02-19,1.3446 
2021-02-22,-0.6926 
2021-02-23,-0.3880 
2021-02-24,-1.4333 
2021-02-25,-0.5666 
2021-02-26,-2.0741 
2021-03-01,1.9497 
2021-03-02,-0.8494 
2021-03-03,1.4211 
2021-03-04,-1.8814 
2021-03-05,0.0235 
2021-03-08,-2.2970 
2021-03-09,-2.3721 
2021-03-10,-0.7490 
2021-03-11,2.5003 
2021-03-12,0.1376 
2021-03-15,-0.7796 
2021-03-16,0.3462 
2021-03-17,0.4861 
2021-03-18,0.7790 
2021-03-19,-1.0720 
2021-03-22,1.5965 
2021-03-23,-1.3722 
2021-03-24,-1.2320 
2021-03-25,0.2420 
2021-03-26,1.5329 
2021-03-29,0.0504 
2021-03-30,0.4063 
2021-03-31,-0.4186 
2021-04-01,0.9209 
2021-04-02,0.2367 
2021-04-06,0.2607 
2021-04-07,0.0785 
2021-04-08,0.1367 
2021-04-09,-0.3384 
2021-04-12,-1.7177 
2021-04-13,-0.2672 
2021-04-14,1.0859 
2021-04-15,-0.0120 
2021-04-16,1.0058 
2021-04-19,1.3513 
2021-04-20,0.0511 
2021-04-21,-0.1288 
2021-04-22,0.3926 
2021-04-23,0.2683 
2021-04-26,-0.3112 
2021-04-27,0.0565 
2021-04-28,0.6742 
2021-04-29,0.0337 
2021-04-30,-0.0958 
2021-05-06,0.0561 
2021-05-07,-0.6920 
2021-05-10,0.4896 
2021-05-11,-0.3082 
2021-05-12,0.8676 
2021-05-13,-1.1213 
2021-05-14,1.3477 
2021-05-17,0.8020 
2021-05-18,0.3262 
2021-05-19,-0.2305 
2021-05-20,-0.5418 
2021-05-21,-0.3183 
2021-05-24,0.2491 
2021-05-25,1.1545 
2021-05-26,0.1289 
2021-05-27,0.8630 
2021-05-28,-0.2578 
2021-05-31,0.9121 
2021-06-01,0.1601 
2021-06-02,-0.8655 
2021-06-03,-0.2051 
2021-06-04,0.3799 
2021-06-07,0.4250 
2021-06-08,-0.5496 
2021-06-09,0.1248 
2021-06-10,1.0868 
2021-06-11,-0.5872 
2021-06-15,-0.9256 
2021-06-16,-1.4613 
2021-06-17,0.7598 
2021-06-18,0.6286 
2021-06-21,0.7422 
2021-06-22,0.4863 
2021-06-23,0.7441 
2021-06-24,-0.5167 
2021-06-25,0.8668 
2021-06-28,0.2217 
2021-06-29,-0.9240 
2021-06-30,0.6321 
2021-07-01,-1.3442 
2021-07-02,-0.8728 
2021-07-05,0.7956 
2021-07-06,-0.0226 
